<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240123;000000;274.69;277.26;274.31;275.9;20.017.040
240124;000000;275.94;276.44;273.7;273.77;20.187.430
240125;000000;274.03;274.18;271.55;272.81;24.422.490
240126;000000;273.1;273.72;272.21;272.65;11.102.660
240129;000000;273.05;274.95;272.7;274.05;17.043.130
240130;000000;274.05;277.25;273.97;275.67;27.222.730
240131;000000;275.8;276.45;275;276;12.527.800
240201;000000;276.07;277.75;275.93;276.86;15.941.680
240202;000000;277.01;277.3;276;276.74;12.688.460
240205;000000;276.94;278.57;276.9;277.84;16.017.040
240206;000000;278;278.99;277.3;278.67;15.925.370
240207;000000;278.81;284.5;278.81;284.41;45.347.300
240208;000000;284.56;286.24;281.25;282.17;44.060.410
240209;000000;282.16;284;281.5;283.5;24.301.430
240212;000000;283.67;287.84;283.5;287.28;33.867.350
240213;000000;287.52;289;285.4;287.07;33.266.090
240214;000000;287.08;290.6;286.84;289.06;35.814.960
240215;000000;289.26;290.45;287.63;290.24;25.888.540
240216;000000;290.47;292.3;286.25;288.33;53.426.930
240219;000000;288.59;289.98;287.07;288.93;24.275.510
240220;000000;289.23;289.28;283.29;283.9;44.931.560
240221;000000;283.91;285.28;280.2;282;48.809.450
240222;000000;282.24;285.05;282.1;284.77;25.107.350
240226;000000;288.52;291.3;287;291.25;42.606.720
240227;000000;291.34;293;290.55;292.52;32.411.030
240228;000000;292.61;293.95;289.75;291.75;49.212.360
240229;000000;292.3;293.2;291.3;292.19;22.398.680
240301;000000;292.21;295.88;292.21;295.38;27.050.460
240304;000000;295.8;299.5;295.8;299.17;40.526.260
240305;000000;299.32;300.41;297.57;298.4;41.691.010
240306;000000;298.19;299.33;296.82;297.71;17.675.740
240307;000000;297.72;300.58;297.24;300.4;21.933.870
240311;000000;300.99;302.95;298.5;299.79;41.634.000
240312;000000;299.54;301.07;297.34;300.9;28.579.520
240313;000000;301.2;301.49;298.7;298.85;23.980.400
240314;000000;298.47;298.7;295.14;295.83;42.076.250
240315;000000;295.75;299.44;295.29;298.3;26.002.750
240318;000000;299.41;299.98;297.63;298.87;20.213.950
240319;000000;298.3;299.4;294.21;295.2;59.646.690
240320;000000;295.4;296.88;293.52;295.4;30.646.650
240321;000000;295.95;297.3;291.8;295.62;70.581.560
240322;000000;295.77;296.79;291.05;292.99;48.966.360
240325;000000;294;294.93;292.13;293.9;25.449.910
240326;000000;294.44;295.82;293.04;294.11;16.268.420
240327;000000;294.45;295.11;293.47;295.1;14.531.720
240328;000000;295.51;299.3;295.51;299;33.617.440
240329;000000;299.37;299.5;298;298.72;17.644.190
240401;000000;299.99;301.65;299.5;300.43;28.378.290
240402;000000;300.42;300.99;298.95;300.38;19.900.790
240403;000000;300.39;307.13;300.17;306.72;58.210.390
240404;000000;306.8;307.77;304.36;304.61;29.046.010
240405;000000;304.65;306.5;303.7;306.1;19.315.070
240408;000000;306.5;308.6;306.22;307.75;24.816.860
240409;000000;308.1;309.35;305.51;306.76;31.960.600
240410;000000;306.76;307.14;304.62;306.48;20.618.060
240411;000000;306.64;308;305.7;306.95;20.511.760
240412;000000;307.41;307.87;306.3;307.1;16.001.210
240415;000000;307.4;308.39;306.64;307.99;20.711.610
240416;000000;308;308.65;307;308.29;17.030.710
240417;000000;308.64;309.74;305.91;306.59;28.070.320
240418;000000;306.02;308.29;305.05;307.91;19.979.870
